hdi_rank,country,hdi,phdi,pct_diff_hdi,rank_diff_hdi,adj_factor,tco2_per_capita_prod,co2_emissions_index,material_footprint_per_capita,material_footprint_index,iso3c
39,Croatia,0.878,0.807,8.08656036446469,21,0.9195839186838474,4.288182536,0.9440258120871948,14.7661,0.8951420252804998,HRV
40,Qatar,0.875,0.45,48.57142857142856,-108,0.5139038213329109,39.88427351,0.479385543532176,63.5912,0.5484220991336458,QAT
40,Saudi Arabia,0.875,0.69,21.142857142857157,-35,0.7891374482340007,17.56422655,0.77073193382065,27.1018,0.8075429626473511,SAU
42,Portugal,0.874,0.807,7.665903890160175,24,0.9238742483950496,3.881234231,0.9493377596788931,14.3058,0.8984107371112058,PRT
43,San Marino,0.867,NA,NA,NA,NA,NA,NA,NA,NA,SMR
44,Chile,0.86,0.786,8.604651162790688,16,0.9142184830856056,4.567606811,0.9403784517556452,15.7636,0.8880585144155659,CHL
45,Slovakia,0.855,0.776,9.239766081871336,9,0.9074861117852998,6.455440557,0.9157363195796893,14.1896,0.8992359039909102,SVK
45,Türkiye,0.855,0.783,8.421052631578942,15,0.9160310302117917,5.340025274,0.9302959760605664,13.8333,0.9017660843630166,TUR
47,Hungary,0.851,0.769,9.635722679200931,8,0.9038547787340269,5.001541744,0.9347142443023104,17.8848,0.8729953131657435,HUN
48,Argentina,0.849,0.782,7.891637220259117,17,0.9213377199751744,4.190779468,0.9452972266283775,14.4512,0.8973782133219713,ARG
49,Kuwait,0.847,0.58,31.523022432113347,-68,0.685340930406324,24.30127757,0.6827923564808772,43.9514,0.687889504331771,KWT
50,Montenegro,0.8439999999999999,NA,NA,NA,NA,3.67088789,0.9520834370186659,NA,NA,MNE
51,Saint Kitts and Nevis,0.8379999999999999,NA,NA,NA,NA,4.672520271,0.9390090031196973,NA,NA,KNA
52,Uruguay,0.83,0.784,5.542168674698789,21,0.9449219847948238,2.364765079,0.9691324229343428,11.1654,0.9207115466553046,URY
53,Romania,0.8269999999999998,0.759,8.222490931076177,6,0.9172720252603224,3.993603248,0.9478709927163556,15.9587,0.8866730578042893,ROU
54,Antigua and Barbuda,0.8259999999999998,NA,NA,NA,NA,6.401055579,0.9164462135621981,NA,NA,ATG
55,Brunei Darussalam,0.8229999999999998,0.576,30.01215066828675,-69,0.7000644596931289,25.37625765,0.6687605058086412,37.8287,0.7313684135776168,BRN
56,Russian Federation,0.8209999999999998,0.725,11.693057247259445,-8,0.8826931911155466,11.79848928,0.8459928301788279,11.351,0.9193935520522653,RUS
57,Bahamas,0.82,0.744,9.268292682926825,3,0.9071948029093619,5.14996102,0.9327769087586476,16.6713,0.8816126970600766,BHS
